Brand,Category_Name,Color,Discount,Gender,ProductID,Product_Description,Product_Name,SKU,Selling_Price,Size,Sub-Category,error_reason
Adidas,Sports & Fitness,Beige,5,nan,PROD_01020,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Cricket Classic,SKU-SPO-1020,16086.35,nan,Cricket,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Beige,25,nan,PROD_01050,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Badminton Advanced,SKU-SPO-1050,1945.5,nan,Badminton,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Blue,5,nan,PROD_00991,"Reliable and stylish gear designed for comfort, efficiency, and endurance. Suitable for both indoor and outdoor sports activities.",Adidas Fitness Accessories Premium,SKU-SPO-0991,9221.65,nan,Fitness Accessories,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Green,10,nan,PROD_01044,"Enhances performance with ergonomic design and superior durability. Ideal for athletes, fitness enthusiasts, and casual users.",Adidas Badminton Deluxe,SKU-SPO-1044,46327.5,nan,Badminton,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Green,10,nan,PROD_01056,"Reliable and stylish gear designed for comfort, efficiency, and endurance. Suitable for both indoor and outdoor sports activities.",Adidas Badminton Premium,SKU-SPO-1056,64052.1,nan,Badminton,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Green,15,nan,PROD_00998,"Reliable and stylish gear designed for comfort, efficiency, and endurance. Suitable for both indoor and outdoor sports activities.",Adidas Fitness Accessories Pro,SKU-SPO-0998,32191.2,nan,Fitness Accessories,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Green,15,nan,PROD_01078,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Cardio Equipment Advanced,SKU-SPO-1078,67971.1,nan,Cardio Equipment,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Grey,10,nan,PROD_00990,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Fitness Accessories Premium,SKU-SPO-0990,85664.7,nan,Fitness Accessories,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Grey,15,nan,PROD_01010,"Reliable and stylish gear designed for comfort, efficiency, and endurance. Suitable for both indoor and outdoor sports activities.",Adidas Fitness Accessories Deluxe,SKU-SPO-1010,43570.15,nan,Fitness Accessories,Gender: invalid value | Size: invalid value
Adidas,Sports & Fitness,Grey,15,nan,PROD_01012,"Combines practicality, durability, and modern design, providing an excellent experience for sports and fitness routines.",Adidas Cricket Pro,SKU-SPO-1012,44052.1,nan,Cricket,Gender: invalid value | Size: invalid value
